plane_fraction,N_F,N_H,H_F_ratio,config
0.0,370,370,1.0,PLANAR_OR_PANORAMIC
0.05,352,348,0.9886363636363636,PLANAR_OR_PANORAMIC
0.1,335,332,0.991044776119403,PLANAR_OR_PANORAMIC
0.15000000000000002,353,315,0.8923512747875354,PLANAR_OR_PANORAMIC
0.2,331,298,0.9003021148036254,PLANAR_OR_PANORAMIC
0.25,358,282,0.7877094972067039,UNCALIBRATED
0.30000000000000004,358,261,0.729050279329609,UNCALIBRATED
0.35000000000000003,359,245,0.6824512534818942,UNCALIBRATED
0.4,358,226,0.6312849162011173,UNCALIBRATED
0.45,354,208,0.5875706214689266,UNCALIBRATED
0.5,353,190,0.5382436260623229,UNCALIBRATED
0.55,355,181,0.5098591549295775,UNCALIBRATED
0.6000000000000001,354,199,0.5621468926553672,UNCALIBRATED
0.65,354,215,0.6073446327683616,UNCALIBRATED
0.7000000000000001,349,232,0.664756446991404,UNCALIBRATED
0.75,346,250,0.7225433526011561,UNCALIBRATED
0.8,342,268,0.783625730994152,UNCALIBRATED
0.8500000000000001,340,285,0.8382352941176471,PLANAR_OR_PANORAMIC
0.9,318,302,0.949685534591195,PLANAR_OR_PANORAMIC
0.9500000000000001,334,321,0.9610778443113772,PLANAR_OR_PANORAMIC
1.0,339,339,1.0,PLANAR_OR_PANORAMIC
