epsilon_HF,H_F_ratio,config,N_F,N_H
0.5,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.52,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.54,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.56,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.58,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.6,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.62,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.64,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.66,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.6799999999999999,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.7,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.72,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.74,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.76,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.78,0.7877094972067039,PLANAR_OR_PANORAMIC,358,282
0.8,0.7877094972067039,UNCALIBRATED,358,282
0.8200000000000001,0.7877094972067039,UNCALIBRATED,358,282
0.8400000000000001,0.7877094972067039,UNCALIBRATED,358,282
0.86,0.7877094972067039,UNCALIBRATED,358,282
0.88,0.7877094972067039,UNCALIBRATED,358,282
0.9,0.7877094972067039,UNCALIBRATED,358,282
0.9199999999999999,0.7877094972067039,UNCALIBRATED,358,282
0.94,0.7877094972067039,UNCALIBRATED,358,282
0.96,0.7877094972067039,UNCALIBRATED,358,282
0.98,0.7877094972067039,UNCALIBRATED,358,282
